x('Total Revenue', '184,903,000', '168,088,000', '143,015,000', '125,843,000', '110,360,000')
         605401 function calls (588135 primitive calls) in 1.184 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       25    0.001    0.000    0.003    0.000 __init__.py:313(namedtuple)
       20    0.001    0.000    0.001    0.000 {built-in method posix.listdir}
      126    0.001    0.000    0.002    0.000 sre_compile.py:492(_get_charset_prefix)
      411    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
     1267    0.001    0.000    0.009    0.000 __init__.py:729(handle_endtag)
      602    0.001    0.000    0.002    0.000 typing.py:120(_type_check)
        1    0.001    0.001    0.001    0.001 {method 'read' of '_io.TextIOWrapper' objects}
     1107    0.001    0.000    0.002    0.000 sre_parse.py:295(_class_escape)
       42    0.001    0.000    0.001    0.000 {method 'join' of 'bytes' objects}
     5785    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
      726    0.001    0.000    0.001    0.000 sre_compile.py:249(_compile_charset)
      325    0.001    0.000    0.004    0.000 css_parser.py:1115(selector_iter)
        4    0.001    0.000    0.010    0.003 element.py:780(_find_all)
    230/4    0.001    0.000    0.281    0.070 <frozen importlib._bootstrap>:650(_load_unlocked)
      411    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:103(release)
      230    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:477(_init_module_attrs)
     3071    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
     1267    0.001    0.000    0.010    0.000 _htmlparser.py:171(handle_endtag)
      183    0.001    0.000    0.091    0.000 sre_compile.py:759(compile)
     2478    0.001    0.000    0.001    0.000 typing.py:646(_is_dunder)
      418    0.001    0.000    0.002    0.000 enum.py:75(__setitem__)
      183    0.001    0.000    0.006    0.000 sre_compile.py:536(_compile_info)
      411    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:78(acquire)
     3010    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
       54    0.001    0.000    0.023    0.000 sslproto.py:157(feed_ssldata)
    255/4    0.001    0.000    0.282    0.071 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
     6388    0.001    0.000    0.001    0.000 {method 'end' of 're.Match' objects}
    52/14    0.001    0.000    0.013    0.001 css_parser.py:925(parse_selectors)
      432    0.001    0.000    0.001    0.000 __init__.py:589(object_was_parsed)
     1142    0.001    0.000    0.001    0.000 mimetypes.py:80(add_type)
       82    0.001    0.000    0.774    0.009 selectors.py:553(select)
 1089/958    0.001    0.000    0.001    0.000 typing.py:720(__hash__)
       17    0.001    0.000    0.001    0.000 {built-in method builtins.sorted}
     1267    0.001    0.000    0.001    0.000 element.py:1284(is_empty_element)
     6152    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
      736    0.001    0.000    0.001    0.000 sre_parse.py:355(_escape)
      754    0.001    0.000    0.001    0.000 sre_parse.py:432(_uniq)
     1080    0.001    0.000    0.001    0.000 sre_parse.py:168(__setitem__)
     6464    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
     2189    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
     2492    0.001    0.000    0.001    0.000 {built-in method builtins.max}
      227    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:629(spec_from_file_location)
2534/2228    0.001    0.000    0.001    0.000 {built-in method builtins.hash}
        1    0.001    0.001    0.001    0.001 {built-in method _posixsubprocess.fork_exec}
      504    0.001    0.000    0.001    0.000 enum.py:417(__setattr__)
     1994    0.001    0.000    0.001    0.000 {method 'split' of 'str' objects}
      126    0.001    0.000    0.001    0.000 sre_compile.py:413(<listcomp>)
      450    0.001    0.000    0.001    0.000 {method 'format' of 'str' objects}
    192/4    0.001    0.000    0.281    0.070 <frozen importlib._bootstrap_external>:777(exec_module)
       29    0.000    0.000    0.001    0.000 enum.py:200(<setcomp>)
  196/126    0.000    0.000    0.004    0.000 typing.py:347(__getitem__)
      183    0.000    0.000    0.058    0.000 sre_parse.py:937(parse)
      140    0.000    0.000    0.006    0.000 {method 'feed_data' of 'aiohttp._http_parser.HttpParser' objects}
     2251    0.000    0.000    0.002    0.000 css_parser.py:319(match)
       77    0.000    0.000    0.004    0.000 css_parser.py:474(parse_attribute_selector)
     1312    0.000    0.000    0.001    0.000 element.py:2023(_normalize_search_value)
       35    0.000    0.000    0.001    0.000 {built-in method _imp.exec_dynamic}
      192    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:493(_classify_pyc)
     4034    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
      754    0.000    0.000    0.000    0.000 {built-in method fromkeys}
     2394    0.000    0.000    0.001    0.000 abc.py:96(__instancecheck__)
      446    0.000    0.000    0.001    0.000 sre_parse.py:258(getwhile)
      749    0.000    0.000    0.001    0.000 sre_compile.py:423(_simple)
      432    0.000    0.000    0.002    0.000 element.py:932(__new__)
     1268    0.000    0.000    0.000    0.000 __init__.py:195(can_be_empty_element)
      354    0.000    0.000    0.001    0.000 typing.py:172(_collect_type_vars)
     1087    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:80(_path_stat)
       35    0.000    0.000    0.005    0.000 _make.py:512(_transform_attrs)
2031/2028    0.000    0.000    0.005    0.000 {built-in method builtins.next}
  230/228    0.000    0.000    0.021    0.000 <frozen importlib._bootstrap>:549(module_from_spec)
     2394    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
      152    0.000    0.000    0.005    0.000 http_parser.py:890(feed_data)
      126    0.000    0.000    0.001    0.000 sre_compile.py:411(_mk_bitmap)
     4541    0.000    0.000    0.000    0.000 element.py:1499(__bool__)
      192    0.000    0.000    0.019    0.000 <frozen importlib._bootstrap_external>:578(_compile_bytecode)
        1    0.000    0.000    0.000    0.000 {built-in method posix.read}
      298    0.000    0.000    0.000    0.000 _make.py:1092(_add_method_dunders)
        1    0.000    0.000    0.023    0.023 helpers.py:1(<module>)
       35    0.000    0.000    0.006    0.000 _make.py:677(__init__)
     1882    0.000    0.000    0.001    0.000 __init__.py:122(unescape)
     1864    0.000    0.000    0.000    0.000 {method 'readline' of '_io.TextIOWrapper' objects}
       74    0.000    0.000    0.001    0.000 _make.py:2696(from_counting_attr)
      563    0.000    0.000    0.004    0.000 enum.py:313(__call__)
      576    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:51(_unpack_uint32)
      136    0.000    0.000    0.000    0.000 css_parser.py:371(__init__)
       15    0.000    0.000    0.365    0.024 __init__.py:1(<module>)
      113    0.000    0.000    0.127    0.001 {method 'run' of 'Context' objects}
      115    0.000    0.000    0.000    0.000 typing.py:219(_remove_dups_flatten)
      183    0.000    0.000    0.001    0.000 enum.py:933(__and__)
       52    0.000    0.000    0.030    0.001 sslproto.py:519(data_received)
     1267    0.000    0.000    0.000    0.000 _markupbase.py:40(getpos)
      152    0.000    0.000    0.001    0.000 streams.py:233(feed_data)
     1199    0.000    0.000    0.000    0.000 parser.py:127(clear_cdata_mode)
     1268    0.000    0.000    0.000    0.000 __init__.py:435(set_up_substitutions)
       13    0.000    0.000    0.001    0.000 enum.py:500(<listcomp>)
      151    0.000    0.000    0.000    0.000 streams.py:465(_read_nowait_chunk)
      227    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1426(_get_spec)
      320    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
  211/173    0.000    0.000    0.000    0.000 sre_compile.py:461(_get_literal_prefix)
     1749    0.000    0.000    0.000    0.000 element.py:1882(descendants)
      140    0.000    0.000    0.006    0.000 client_proto.py:190(data_received)
      676    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1265(_path_importer_cache)
      183    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      539    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:389(parent)
