x('Total Revenue', '184,903,000', '168,088,000', '143,015,000', '125,843,000', '110,360,000')
         605401 function calls (588135 primitive calls) in 1.184 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       28    0.000    0.000    0.000    0.000 ipaddress.py:1531(_make_netmask)
       80    0.000    0.000    0.000    0.000 enum.py:223(<genexpr>)
        1    0.000    0.000    0.096    0.096 element.py:2(<module>)
        1    0.000    0.000    0.000    0.000 multipart.py:712(MultipartWriter)
        1    0.000    0.000    0.001    0.001 typedefs.py:1(<module>)
       99    0.000    0.000    0.000    0.000 {built-in method builtins.all}
        1    0.000    0.000    0.000    0.000 contextlib.py:482(__exit__)
       13    0.000    0.000    0.000    0.000 {method 'tolist' of 'memoryview' objects}
        1    0.000    0.000    0.000    0.000 copy.py:1(<module>)
      109    0.000    0.000    0.000    0.000 _make.py:600(<genexpr>)
        1    0.000    0.000    0.000    0.000 selector_events.py:605(_SelectorTransport)
        1    0.000    0.000    0.002    0.002 events.py:1(<module>)
       31    0.000    0.000    0.000    0.000 ipaddress.py:1655(_parse_hextet)
      192    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:774(create_module)
       68    0.000    0.000    0.000    0.000 _compat.py:136(iteritems)
        1    0.000    0.000    0.000    0.000 token.py:74(<dictcomp>)
        1    0.000    0.000    0.004    0.004 css_types.py:1(<module>)
      160    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1400(<genexpr>)
       42    0.000    0.000    0.004    0.000 client_reqrep.py:1077(text)
        1    0.000    0.000    0.002    0.002 selectors.py:1(<module>)
        4    0.000    0.000    0.000    0.000 selector_events.py:890(write)
        2    0.000    0.000    0.000    0.000 threading.py:761(__init__)
        1    0.000    0.000    0.001    0.001 dis.py:1(<module>)
        1    0.000    0.000    0.000    0.000 models.py:1(<module>)
        1    0.000    0.000    0.001    0.001 uuid.py:1(<module>)
       14    0.000    0.000    0.013    0.001 css_parser.py:1156(process_selectors)
        1    0.000    0.000    0.000    0.000 http_websocket.py:573(WebSocketWriter)
        1    0.000    0.000    0.004    0.004 coroutines.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {built-in method _thread.start_new_thread}
        1    0.000    0.000    0.004    0.004 cookiejar.py:1(<module>)
       63    0.000    0.000    0.000    0.000 {method 'rindex' of 'str' objects}
       35    0.000    0.000    0.000    0.000 _make.py:484(_collect_base_attrs_broken)
        1    0.000    0.000    0.001    0.001 md.py:1(<module>)
      147    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
        1    0.000    0.000    0.000    0.000 sslproto.py:56(__init__)
        2    0.000    0.000    0.000    0.000 {method 'setsockopt' of '_socket.socket' objects}
        1    0.000    0.000    0.000    0.000 client.py:196(__init__)
        1    0.000    0.000    0.000    0.000 idnadata.py:3(<module>)
        1    0.000    0.000    0.004    0.004 _htmlparser.py:2(<module>)
      119    0.000    0.000    0.000    0.000 ssl.py:124(<lambda>)
      134    0.000    0.000    0.000    0.000 enum.py:506(<lambda>)
        1    0.000    0.000    0.000    0.000 cookiejar.py:156(update_cookies)
        3    0.000    0.000    0.001    0.000 connector.py:976(_wrap_create_connection)
       91    0.000    0.000    0.000    0.000 enum.py:743(name)
        1    0.000    0.000    0.000    0.000 client_ws.py:29(ClientWebSocketResponse)
        1    0.000    0.000    0.000    0.000 helpers.py:544(next_whole_second)
        1    0.000    0.000    0.000    0.000 base_events.py:386(__init__)
      120    0.000    0.000    0.000    0.000 opcode.py:39(def_op)
        1    0.000    0.000    0.000    0.000 subprocess.py:1708(_handle_exitstatus)
       78    0.000    0.000    0.000    0.000 element.py:1536(__eq__)
       19    0.000    0.000    0.000    0.000 ipaddress.py:1099(_make_netmask)
        1    0.000    0.000    0.000    0.000 contextlib.py:385(__init__)
        1    0.000    0.000    0.000    0.000 selector_events.py:520(_sock_connect_cb)
        1    0.000    0.000    0.000    0.000 client_reqrep.py:712(ClientResponse)
       32    0.000    0.000    0.000    0.000 _make.py:565(<genexpr>)
        1    0.000    0.000    0.000    0.000 client_reqrep.py:1049(get_encoding)
       16    0.000    0.000    0.000    0.000 streams.py:259(end_http_chunk_receiving)
       35    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1088(__init__)
        4    0.000    0.000    0.000    0.000 threading.py:222(__init__)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:406(spec_from_loader)
       14    0.000    0.000    0.000    0.000 css_parser.py:461(__init__)
        1    0.000    0.000    0.000    0.000 client_reqrep.py:357(request_info)
       70    0.000    0.000    0.000    0.000 base_events.py:506(_check_closed)
        1    0.000    0.000    0.000    0.000 selector_events.py:69(_make_ssl_transport)
       99    0.000    0.000    0.000    0.000 constant.py:342(<lambda>)
        1    0.000    0.000    0.000    0.000 client_ws.py:1(<module>)
        4    0.000    0.000    0.000    0.000 {built-in method now}
        1    0.000    0.000    0.903    0.903 base_events.py:580(run_until_complete)
        4    0.000    0.000    0.000    0.000 {built-in method _ssl.txt2obj}
        3    0.000    0.000    0.000    0.000 _weakrefset.py:38(_remove)
        1    0.000    0.000    0.000    0.000 payload_streamer.py:1(<module>)
        1    0.000    0.000    0.000    0.000 client_proto.py:17(ResponseHandler)
      119    0.000    0.000    0.000    0.000 ssl.py:129(<lambda>)
        1    0.000    0.000    0.000    0.000 inspect.py:2457(Parameter)
        1    0.000    0.000    0.000    0.000 selector_events.py:1(<module>)
        2    0.000    0.000    0.000    0.000 base_events.py:1061(_create_connection_transport)
        1    0.000    0.000    0.000    0.000 models.py:14(CharsetMatch)
      120    0.000    0.000    0.000    0.000 typing.py:183(<listcomp>)
      119    0.000    0.000    0.000    0.000 ssl.py:144(<lambda>)
      119    0.000    0.000    0.000    0.000 ssl.py:134(<lambda>)
      109    0.000    0.000    0.000    0.000 _make.py:708(<genexpr>)
        1    0.000    0.000    0.000    0.000 http_parser.py:217(HttpParser)
      119    0.000    0.000    0.000    0.000 ssl.py:139(<lambda>)
        3    0.000    0.000    0.001    0.000 base_events.py:936(create_connection)
        6    0.000    0.000    0.020    0.003 ssl.py:942(do_handshake)
       25    0.000    0.000    0.000    0.000 ipaddress.py:476(_prefix_from_prefix_string)
        2    0.000    0.000    0.000    0.000 ipaddress.py:27(ip_address)
        3    0.000    0.000    0.000    0.000 events.py:149(cancel)
       13    0.000    0.000    0.000    0.000 {method 'cast' of 'memoryview' objects}
        1    0.000    0.000    0.001    0.001 thread.py:4(<module>)
        1    0.000    0.000    0.001    0.001 lzma.py:1(<module>)
      119    0.000    0.000    0.000    0.000 ssl.py:149(<lambda>)
        1    0.000    0.000    0.000    0.000 os.py:46(<listcomp>)
       74    0.000    0.000    0.000    0.000 abc.py:7(abstractmethod)
        1    0.000    0.000    0.000    0.000 contextvars.py:1(<module>)
        5    0.000    0.000    0.000    0.000 {method 'replace' of 'datetime.datetime' objects}
        8    0.000    0.000    0.000    0.000 _collections_abc.py:659(get)
        1    0.000    0.000    0.000    0.000 socketserver.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {aiohttp._http_writer._serialize_headers}
       27    0.000    0.000    0.000    0.000 enum.py:1010(_power_of_two)
       16    0.000    0.000    0.000    0.000 parse.py:195(_hostinfo)
       37    0.000    0.000    0.000    0.000 _make.py:1771(<listcomp>)
       10    0.000    0.000    0.000    0.000 __init__.py:2018(getLogger)
        1    0.000    0.000    0.000    0.000 token.py:1(<module>)
        2    0.000    0.000    0.000    0.000 selector_events.py:257(_add_reader)
        2    0.000    0.000    0.000    0.000 locks.py:1(<module>)
        2    0.000    0.000    0.004    0.002 platform.py:884(system)
        1    0.000    0.000    0.000    0.000 client_proto.py:1(<module>)
        1    0.000    0.000    0.002    0.002 charset.py:6(<module>)
        1    0.000    0.000    0.000    0.000 futures.py:318(_copy_future_state)
        1    0.000    0.000    0.000    0.000 cookiejar.py:233(filter_cookies)
        1    0.000    0.000    0.000    0.000 selectors.py:509(__init__)
       34    0.000    0.000    0.000    0.000 _make.py:868(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:454(reset)
      108    0.000    0.000    0.000    0.000 _make.py:946(<genexpr>)
        1    0.000    0.000    0.000    0.000 tempfile.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _bootlocale.py:1(<module>)
        1    0.000    0.000    0.003    0.003 staggered.py:1(<module>)
        1    0.000    0.000    0.000    0.000 connector.py:414(_close)
       14    0.000    0.000    0.001    0.000 hashlib.py:123(__get_openssl_constructor)
    28/27    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
        1    0.000    0.000    0.000    0.000 sslproto.py:625(_on_handshake_complete)
        1    0.000    0.000    0.000    0.000 cgi.py:12(<module>)
        1    0.000    0.000    0.000    0.000 {method 'shutdown' of '_ssl._SSLSocket' objects}
        1    0.000    0.000    0.000    0.000 tcp_helpers.py:25(tcp_nodelay)
        1    0.000    0.000    0.000    0.000 subprocess.py:1052(poll)
        1    0.000    0.000    0.001    0.001 message.py:5(<module>)
        1    0.000    0.000    0.000    0.000 {built-in method zlib.decompressobj}
        9    0.000    0.000    0.000    0.000 os.py:748(encode)
        3    0.000    0.000    0.000    0.000 typing.py:1615(__new__)
        1    0.000    0.000    0.000    0.000 client_reqrep.py:247(__init__)
        1    0.000    0.000    0.000    0.000 multipart.py:252(BodyPartReader)
        1    0.000    0.000    0.005    0.005 ssl.py:723(create_default_context)
        3    0.000    0.000    0.000    0.000 selectors.py:516(register)
        1    0.000    0.000    0.008    0.008 _base.py:4(<module>)
       16    0.000    0.000    0.000    0.000 http_parser.py:933(end_http_chunk_receiving)
        3    0.000    0.000    0.000    0.000 base_events.py:693(call_at)
        1    0.000    0.000    0.000    0.000 sslproto.py:1(<module>)
        1    0.000    0.000    0.001    0.001 bz2.py:1(<module>)
       35    0.000    0.000    0.000    0.000 _make.py:436(_get_annotations)
        1    0.000    0.000    0.030    0.030 formatter.py:1(<module>)
        5    0.000    0.000    0.000    0.000 _weakrefset.py:36(__init__)
        1    0.000    0.000    0.000    0.000 connector.py:214(__init__)
        1    0.000    0.000    0.001    0.001 queue.py:1(<module>)
        3    0.000    0.000    0.000    0.000 {built-in method _asyncio.get_event_loop}
        1    0.000    0.000    0.000    0.000 {built-in method posix.uname}
       35    0.000    0.000    0.000    0.000 _make.py:586(<setcomp>)
        4    0.000    0.000    0.000    0.000 typing.py:248(_tp_cache)
    40/16    0.000    0.000    0.000    0.000 abc.py:100(__subclasscheck__)
        1    0.000    0.000    0.000    0.000 util.py:1(<module>)
        2    0.000    0.000    0.000    0.000 typing.py:1591(_make_nmtuple)
        1    0.000    0.000    0.000    0.000 ssl.py:510(wrap_bio)
        2    0.000    0.000    0.000    0.000 weakref.py:102(__init__)
        1    0.000    0.000    0.000    0.000 legacy.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pathlib.py:119(_WindowsFlavour)
       14    0.000    0.000    0.000    0.000 <attrs generated hash aiohttp.client_reqrep.ConnectionKey>:1(__hash__)
        2    0.000    0.000    0.002    0.001 resolver.py:30(resolve)
        4    0.000    0.000    0.000    0.000 element.py:1985(__init__)
        1    0.000    0.000    0.000    0.000 pathlib.py:628(PurePath)
        1    0.000    0.000    0.000    0.000 _make.py:2784(<listcomp>)
        1    0.000    0.000    0.001    0.001 base64.py:3(<module>)
        1    0.000    0.000    0.000    0.000 element.py:151(PageElement)
        1    0.000    0.000    0.000    0.000 events.py:205(AbstractEventLoop)
        1    0.000    0.000    0.001    0.001 decoder.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _compat.py:3(<module>)
        1    0.000    0.000    0.000    0.000 payload.py:133(Payload)
        1    0.000    0.000    0.000    0.000 thread.py:120(__init__)
        1    0.000    0.000    0.001    0.001 header.py:5(<module>)
        9    0.000    0.000    0.000    0.000 parse.py:155(hostname)
        1    0.000    0.000    0.000    0.000 __init__.py:68(Timeout)
       34    0.000    0.000    0.000    0.000 _make.py:1823(<listcomp>)
        1    0.000    0.000    0.000    0.000 _next_gen.py:3(<module>)
        1    0.000    0.000    0.000    0.000 events.py:711(_init_event_loop_policy)
        1    0.000    0.000    0.000    0.000 dammit.py:2765(UnicodeDammit)
        1    0.000    0.000    0.000    0.000 {built-in method _socket.socketpair}
        2    0.000    0.000    0.000    0.000 __init__.py:891(createLock)
        1    0.000    0.000    0.000    0.000 typing.py:1838(IO)
        2    0.000    0.000    0.000    0.000 threading.py:270(wait)
       28    0.000    0.000    0.000    0.000 _make.py:1900(<dictcomp>)
        1    0.000    0.000    0.000    0.000 _policybase.py:99(_extend_docstrings)
        1    0.000    0.000    0.000    0.000 selector_events.py:106(_make_self_pipe)
        1    0.000    0.000    0.000    0.000 css_parser.py:676(parse_pseudo_nth)
        1    0.000    0.000    0.004    0.004 parser.py:1(<module>)
        1    0.000    0.000    0.000    0.000 resolver.py:1(<module>)
        1    0.000    0.000    0.000    0.000 client_reqrep.py:730(__init__)
        1    0.000    0.000    0.002    0.002 feedparser.py:5(<module>)
        1    0.000    0.000    0.000    0.000 selector_events.py:308(_remove_writer)
        1    0.000    0.000    0.002    0.002 pretty.py:1(<module>)
       34    0.000    0.000    0.000    0.000 _make.py:878(<listcomp>)
        1    0.000    0.000    0.004    0.004 converters.py:3(<module>)
       10    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_decode}
        4    0.000    0.000    0.000    0.000 selectors.py:69(__getitem__)
        1    0.000    0.000    0.000    0.000 iterators.py:5(<module>)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:104(_path_isdir)
        1    0.000    0.000    0.000    0.000 _encoded_words.py:1(<module>)
        1    0.000    0.000    0.000    0.000 futures.py:1(<module>)
       61    0.000    0.000    0.000    0.000 dammit.py:2409(<listcomp>)
        4    0.000    0.000    0.000    0.000 functools.py:183(total_ordering)
        1    0.000    0.000    0.000    0.000 sslproto.py:232(feed_appdata)
        1    0.000    0.000    0.000    0.000 datetime.py:1559(datetime)
        1    0.000    0.000    0.000    0.000 streams.py:104(__init__)
       16    0.000    0.000    0.000    0.000 http_parser.py:930(begin_http_chunk_receiving)
       35    0.000    0.000    0.000    0.000 _make.py:1124(_determine_attrs_eq_order)
        1    0.000    0.000    0.000    0.000 helpers.py:388(<setcomp>)
        7    0.000    0.000    0.000    0.000 _weakrefset.py:81(add)
        1    0.000    0.000    0.000    0.000 formdata.py:1(<module>)
        1    0.000    0.000    0.000    0.000 selector_events.py:498(_sock_connect)
        1    0.000    0.000    0.001    0.001 http_exceptions.py:1(<module>)
        1    0.000    0.000    0.000    0.000 subprocess.py:1(<module>)
        1    0.000    0.000    0.000    0.000 abc.py:60(AbstractMatchInfo)
        2    0.000    0.000    0.000    0.000 selector_events.py:480(sock_connect)
        1    0.000    0.000    0.071    0.071 _htmlparser.py:384(feed)
        1    0.000    0.000    0.001    0.001 _version_info.py:3(<module>)
        3    0.000    0.000    0.000    0.000 __init__.py:862(__init__)
        2    0.000    0.000    0.000    0.000 base_events.py:103(_ipaddr_info)
        1    0.000    0.000    0.000    0.000 tracing.py:48(TraceConfig)
        1    0.000    0.000    0.000    0.000 {method 'getsockopt' of '_socket.socket' objects}
       31    0.000    0.000    0.000    0.000 {method 'issuperset' of 'frozenset' objects}
        2    0.000    0.000    0.000    0.000 {built-in method posix.pipe}
        2    0.000    0.000    0.000    0.000 client.py:970(close)
        7    0.000    0.000    0.000    0.000 sre_parse.py:861(_parse_flags)
        7    0.000    0.000    0.000    0.000 posixpath.py:71(join)
       36    0.000    0.000    0.000    0.000 {method 'values' of 'mappingproxy' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:51(lookup)
        1    0.000    0.000    0.000    0.000 server.py:148(BaseHTTPRequestHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:5(HTTPStatus)
       38    0.000    0.000    0.000    0.000 typing.py:886(<genexpr>)
        1    0.000    0.000    0.000    0.000 setters.py:3(<module>)
        4    0.000    0.000    0.000    0.000 {method 'setblocking' of '_socket.socket' objects}
        4    0.000    0.000    0.000    0.000 uuid.py:132(__init__)
        1    0.000    0.000    0.000    0.000 socket.py:558(socketpair)
        7    0.000    0.000    0.000    0.000 element.py:808(<genexpr>)
        4    0.000    0.000    0.000    0.000 {built-in method posix.close}
        3    0.000    0.000    0.000    0.000 selectors.py:234(register)
       24    0.000    0.000    0.000    0.000 tokenize.py:94(<listcomp>)
        1    0.000    0.000    0.000    0.000 abc.py:141(AbstractCookieJar)
        1    0.000    0.000    0.002    0.002 base_events.py:773(run_in_executor)
        1    0.000    0.000    0.000    0.000 ssl.py:971(SSLSocket)
        4    0.000    0.000    0.010    0.003 element.py:1847(find_all)
        1    0.000    0.000    0.000    0.000 client_reqrep.py:411(update_auto_headers)
       44    0.000    0.000    0.000    0.000 {method 'done' of '_asyncio.Future' objects}
        1    0.000    0.000    0.000    0.000 tasks.py:848(shield)
        1    0.000    0.000    0.000    0.000 sslproto.py:106(do_handshake)
        4    0.000    0.000    0.006    0.001 connector.py:897(_create_connection)
        5    0.000    0.000    0.007    0.001 client.py:1137(__aenter__)
        8    0.000    0.000    0.001    0.000 hashlib.py:79(__get_builtin_constructor)
        4    0.000    0.000    0.000    0.000 typing.py:868(__new__)
        4    0.000    0.000    0.000    0.000 selectors.py:180(get_key)
        6    0.000    0.000    0.000    0.000 _collections_abc.py:74(_check_methods)
       34    0.000    0.000    0.000    0.000 {method 'mro' of 'type' objects}
        1    0.000    0.000    0.000    0.000 thread.py:158(submit)
        1    0.000    0.000    0.000    0.000 intranges.py:1(<module>)
        1    0.000    0.000    0.000    0.000 element.py:1144(Tag)
        1    0.000    0.000    0.001    0.001 scanner.py:1(<module>)
        1    0.000    0.000    0.004    0.004 mimetypes.py:345(init)
       12    0.000    0.000    0.000    0.000 payload.py:120(register)
        1    0.000    0.000    0.000    0.000 connector.py:98(Connection)
        1    0.000    0.000    0.000    0.000 base_events.py:184(_run_until_complete_cb)
        3    0.000    0.000    0.000    0.000 _make.py:1875(_add_eq)
        9    0.000    0.000    0.000    0.000 _make.py:2835(<genexpr>)
        1    0.000    0.000    0.000    0.000 ipaddress.py:2142(_IPv6Constants)
       17    0.000    0.000    0.000    0.000 __init__.py:218(_acquireLock)
       14    0.000    0.000    0.000    0.000 element.py:1330(_all_strings)
        1    0.000    0.000    0.000    0.000 connector.py:752(__init__)
       94    0.000    0.000    0.000    0.000 ipaddress.py:574(__int__)
        2    0.000    0.000    0.000    0.000 base_events.py:900(_connect_sock)
        1    0.000    0.000    0.000    0.000 helpers.py:129(BasicAuth)
        1    0.000    0.000    0.000    0.000 mimetypes.py:1(<module>)
        9    0.000    0.000    0.000    0.000 genericpath.py:27(isfile)
        2    0.000    0.000    0.000    0.000 connector.py:379(_drop_acquired_per_host)
        1    0.000    0.000    0.000    0.000 datetime.py:2181(timezone)
        1    0.000    0.000    0.004    0.004 _compat.py:1(<module>)
        1    0.000    0.000    0.000    0.000 mimetypes.py:384(_default_mime_types)
        1    0.000    0.000    0.000    0.000 weakref.py:159(__setitem__)
        1    0.000    0.000    0.000    0.000 client_proto.py:20(__init__)
        1    0.000    0.000    0.002    0.002 parser.py:5(<module>)
        1    0.000    0.000    0.000    0.000 _htmlparser.py:307(__init__)
       28    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
        1    0.000    0.000    0.000    0.000 _funcs.py:3(<module>)
        1    0.000    0.000    0.000    0.000 connector.py:160(_notify_release)
        1    0.000    0.000    0.001    0.001 base_subprocess.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ipaddress.py:1477(_IPv4Constants)
        1    0.000    0.000    0.000    0.000 idna.py:147(encode)
       35    0.000    0.000    0.000    0.000 _make.py:1056(add_setattr)
        1    0.000    0.000    0.001    0.001 string.py:1(<module>)
        1    0.000    0.000    0.000    0.000 events.py:650(new_event_loop)
       37    0.000    0.000    0.000    0.000 _make.py:1748(_make_ne)
        1    0.000    0.000    0.000    0.000 tasks.py:885(_inner_done_callback)
        1    0.000    0.000    0.000    0.000 client_reqrep.py:570(write_bytes)
        1    0.000    0.000    0.000    0.000 http_parser.py:852(__init__)
        1    0.000    0.000    0.002    0.002 traceback.py:1(<module>)
       35    0.000    0.000    0.000    0.000 _make.py:615(<listcomp>)
        4    0.000    0.000    0.000    0.000 element.py:2242(__init__)
        1    0.000    0.000    0.000    0.000 ipaddress.py:622(_BaseNetwork)
        1    0.000    0.000    0.001    0.001 __meta__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 selector_events.py:754(__init__)
        3    0.000    0.000    0.000    0.000 types.py:244(coroutine)
        1    0.000    0.000    0.000    0.000 filters.py:3(<module>)
        1    0.000    0.000    0.000    0.000 message.py:105(Message)
        1    0.000    0.000    0.000    0.000 connector.py:647(_release)
        1    0.000    0.000    0.000    0.000 subprocess.py:688(Popen)
        1    0.000    0.000    0.016    0.016 css_parser.py:328(__init__)
        1    0.000    0.000    0.000    0.000 css_types.py:183(Selector)
        1    0.000    0.000    0.000    0.000 sslproto.py:601(_start_handshake)
       17    0.000    0.000    0.000    0.000 enum.py:398(__members__)
        2    0.000    0.000    0.000    0.000 log.py:1(<module>)
        1    0.000    0.000    0.004    0.004 mimetypes.py:197(read)
        7    0.000    0.000    0.000    0.000 typing.py:1124(runtime_checkable)
        5    0.000    0.000    0.000    0.000 socket.py:97(_intenum_converter)
      105    0.000    0.000    0.000    0.000 {method 'isdigit' of 'str' objects}
        1    0.000    0.000    0.000    0.000 selector_events.py:48(BaseSelectorEventLoop)
        2    0.000    0.000    0.000    0.000 {method 'close' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.000    0.000 client_reqrep.py:938(_response_eof)
        1    0.000    0.000    0.000    0.000 http_writer.py:30(__init__)
        1    0.000    0.000    0.000    0.000 errors.py:5(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:129(__init__)
        1    0.000    0.000    0.000    0.000 cookiejar.py:59(__init__)
        3    0.000    0.000    0.000    0.000 {built-in method _heapq.heappush}
        7    0.000    0.000    0.000    0.000 enum.py:884(_missing_)
        1    0.000    0.000    0.000    0.000 client_reqrep.py:388(update_headers)
        1    0.000    0.000    0.000    0.000 worker.py:1(<module>)
        1    0.000    0.000    0.000    0.000 selector_events.py:117(_read_from_self)
        4    0.000    0.000    0.000    0.000 events.py:65(cancel)
      108    0.000    0.000    0.000    0.000 {method 'isascii' of 'str' objects}
        2    0.000    0.000    0.000    0.000 random.py:123(seed)
        1    0.000    0.000    0.000    0.000 _quoting.py:1(<module>)
        1    0.000    0.000    0.000    0.000 datetime.py:789(date)
       21    0.000    0.000    0.000    0.000 enum.py:952(_high_bit)
        1    0.000    0.000    0.001    0.001 _policybase.py:1(<module>)
        1    0.000    0.000    0.000    0.000 sslproto.py:472(connection_made)
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha224}
        1    0.000    0.000    0.000    0.000 ssl.py:812(SSLObject)
       96    0.000    0.000    0.000    0.000 {built-in method builtins.abs}
        1    0.000    0.000    0.000    0.000 base_events.py:195(_set_nodelay)
        1    0.000    0.000    0.000    0.000 server.py:622(<dictcomp>)
       72    0.000    0.000    0.000    0.000 signal.py:22(<lambda>)
        1    0.000    0.000    0.000    0.000 _cmp.py:3(<module>)
       19    0.000    0.000    0.000    0.000 tokenize.py:58(group)
        1    0.000    0.000    0.000    0.000 thread.py:115(ThreadPoolExecutor)
        1    0.000    0.000    0.000    0.000 base_futures.py:1(<module>)
       41    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
        2    0.000    0.000    0.000    0.000 {built-in method math.ceil}
        1    0.000    0.000    0.000    0.000 pickle.py:407(_Pickler)
       17    0.000    0.000    0.000    0.000 __init__.py:227(_releaseLock)
        1    0.000    0.000    0.000    0.000 events.py:628(get_event_loop)
        1    0.000    0.000    0.000    0.000 client_exceptions.py:49(ClientResponseError)
        6    0.000    0.000    0.000    0.000 parse.py:110(_coerce_args)
        4    0.000    0.000    0.000    0.000 {method 'replace' of 'code' objects}
        1    0.000    0.000    0.000    0.000 client_exceptions.py:153(ClientConnectorError)
        4    0.000    0.000    0.000    0.000 socket.py:512(family)
        1    0.000    0.000    0.000    0.000 selectors.py:532(unregister)
        1    0.000    0.000    0.000    0.000 client_reqrep.py:1012(_cleanup_writer)
        8    0.000    0.000    0.000    0.000 threading.py:246(__enter__)
        5    0.000    0.000    0.000    0.000 datetime.py:411(_check_date_fields)
        1    0.000    0.000    0.000    0.000 http_writer.py:29(StreamWriter)
        1    0.000    0.000    0.000    0.000 _lxml.py:2(<module>)
        1    0.000    0.000    0.000    0.000 css_match.py:1498(SoupSieve)
        1    0.000    0.000    0.000    0.000 css_types.py:165(CustomSelectors)
        2    0.000    0.000    0.000    0.000 __init__.py:559(__init__)
       25    0.000    0.000    0.000    0.000 ipaddress.py:433(_ip_int_from_prefix)
        1    0.000    0.000    0.000    0.000 os.py:613(get_exec_path)
       71    0.000    0.000    0.000    0.000 signal.py:17(<lambda>)
        1    0.000    0.000    0.001    0.001 _parseaddr.py:4(<module>)
        1    0.000    0.000    0.000    0.000 socket.py:213(socket)
        1    0.000    0.000    0.000    0.000 shlex.py:1(<module>)
        4    0.000    0.000    0.000    0.000 functools.py:186(<setcomp>)
        1    0.000    0.000    0.000    0.000 threading.py:341(notify)
       75    0.000    0.000    0.000    0.000 {built-in method _sre.ascii_iscased}
        1    0.000    0.000    0.000    0.000 multipart.py:524(MultipartReader)
        1    0.000    0.000    0.000    0.000 threading.py:750(Thread)
        1    0.000    0.000    0.000    0.000 random.py:78(Random)
        1    0.000    0.000    0.000    0.000 helpers.py:124(noop)
        1    0.000    0.000    0.000    0.000 request.py:323(Request)
        1    0.000    0.000    0.000    0.000 {method 'getsockname' of '_socket.socket' objects}
       12    0.000    0.000    0.000    0.000 typing.py:701(<listcomp>)
        1    0.000    0.000    0.002    0.002 linecache.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {built-in method posix.waitpid}
        1    0.000    0.000    0.000    0.000 css_types.py:97(ImmutableDict)
        1    0.000    0.000    0.000    0.000 __init__.py:1689(isEnabledFor)
        1    0.000    0.000    0.000    0.000 _html5lib.py:2(<module>)
        1    0.000    0.000    0.000    0.000 streams.py:562(DataQueue)
        1    0.000    0.000    0.000    0.000 events.py:625(__init__)
       22    0.000    0.000    0.000    0.000 typing.py:839(<genexpr>)
       13    0.000    0.000    0.000    0.000 __init__.py:776(__init__)
        8    0.000    0.000    0.000    0.000 formatter.py:49(__init__)
        1    0.000    0.000    0.000    0.000 helpers.py:744(HeadersMixin)
        1    0.000    0.000    0.001    0.001 string.py:67(__init__)
        2    0.000    0.000    0.000    0.000 coroutines.py:18(_is_debug_mode)
       10    0.000    0.000    0.000    0.000 element.py:389(_last_descendant)
       10    0.000    0.000    0.000    0.000 {built-in method _abc._abc_register}
        1    0.000    0.000    0.000    0.000 struct.py:3(<module>)
        1    0.000    0.000    0.000    0.000 ipaddress.py:385(_IPAddressBase)
        1    0.000    0.000    0.000    0.000 decoder.py:284(__init__)
        1    0.000    0.000    0.000    0.000 http_parser.py:920(feed_eof)
        1    0.000    0.000    0.000    0.000 ssl.py:482(__new__)
       85    0.000    0.000    0.000    0.000 _compat_pickle.py:167(<genexpr>)
        1    0.000    0.000    0.000    0.000 quopri.py:3(<module>)
        1    0.000    0.000    0.000    0.000 queues.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.print}
        1    0.000    0.000    0.000    0.000 http_writer.py:122(write_headers)
        1    0.000    0.000    0.000    0.000 base_protocol.py:1(<module>)
        8    0.000    0.000    0.000    0.000 base_futures.py:14(isfuture)
        3    0.000    0.000    0.000    0.000 events.py:104(__init__)
        1    0.000    0.000    0.000    0.000 element.py:1518(__getattr__)
